i	j	x	r	mach	theta	press	temp
77	31	1.12362	0.349178	1.74836	5.7319	94.1457	328.916
78	31	1.13749	0.341458	1.75463	5.69908	93.2539	328.022
79	31	1.15364	0.332518	1.76192	5.66347	92.2257	326.985
80	31	1.17222	0.322282	1.77051	5.62038	91.0272	325.765
81	31	1.19348	0.310651	1.78086	5.56044	89.6015	324.299
82	31	1.21782	0.297433	1.79385	5.46457	87.8418	322.467
83	31	1.24609	0.282198	1.81149	5.28498	85.5036	319.991
84	31	1.28439	0.261724	1.84176	4.85731	81.6247	315.774
85	31	1.32739	0.238926	1.87501	4.39093	77.5539	311.192
86	31	1.36971	0.216665	1.90432	4.02682	74.1234	307.195
87	31	1.41614	0.192424	1.93849	3.57131	70.3064	302.59
88	31	1.43987	0.180101	1.95493	3.36728	68.537	300.394
89	31	1.46489	0.167156	1.97351	3.11761	66.5882	297.929
90	31	1.48844	0.155003	1.98991	2.91349	64.9125	295.767
91	31	1.51701	0.14031	2.011	2.6337	62.8174	293.008
92	31	1.5405	0.128258	2.02768	2.42269	61.2074	290.842
93	31	1.57304	0.111613	2.05168	2.1068	58.9602	287.75
94	31	1.59647	0.09965	2.06857	1.89083	57.4269	285.592
95	31	1.63342	0.0808338	2.0959	1.5329	55.0281	282.131
96	31	1.65682	0.0689372	2.11298	1.31341	53.5793	279.989
97	31	1.69866	0.0476962	2.14411	0.906967	51.034	276.122
98	31	1.72206	0.0358336	2.16137	0.684553	49.6742	274
99	31	1.74537	0.0240247	2.17883	0.456909	48.3358	271.87
100	31	1.76936	0.0118755	2.19658	0.231756	47.0121	269.722
101	31	1.79282	0	2.21455	0	45.7077	267.562

0	32	0.142208	1.01016	1.37736	8.17561	162.192	384.219
1	32	0.145406	1.00763	1.37722	8.20344	162.223	384.24
2	32	0.154129	1.00074	1.37729	8.26731	162.206	384.228
3	32	0.16339	0.993435	1.37782	8.32335	162.088	384.148
4	32	0.173202	0.985724	1.37881	8.37122	161.864	383.997
5	32	0.183577	0.977598	1.38027	8.41068	161.532	383.772
6	32	0.194523	0.969059	1.38222	8.44161	161.092	383.473
7	32	0.206045	0.96011	1.38465	8.46405	160.544	383.1
8	32	0.218145	0.950757	1.38756	8.47818	159.891	382.654
9	32	0.230821	0.94101	1.39093	8.48429	159.137	382.137
